state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,location,notes
Iowa,562624,128800,119706,9094,2017,7,2015,3,"Iowa
(42.074659, -93.500061)",""
Oregon,998620,455800,385657,70143,2016,12,2014,11,"Oregon
(43.940449, -120.605279)",""
Minnesota,1154559,199745,198996,749,2017,7,2015,1,"Minnesota
(46.349153, -94.198308)",""
Alabama,1050254,"","","",2016,12,2014,11,"Alabama
(32.756889, -86.844516)",""
Nebraska,231795,"","","",2016,12,2014,6,"Nebraska
(41.527099, -99.810595)",""
Oregon,1102098,550610,478568,72042,2017,9,2016,3,"Oregon
(43.940449, -120.605279)",""
North Carolina,2150335,"","","",2019,12,2018,2,"North Carolina
(35.52603, -79.130883)",""
Florida,3882589,"","","",2019,12,2018,5,"Florida
(28.260731, -82.420978)",""
Indiana,1166913,269293,150006,119287,2017,7,2015,5,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Louisiana,1466220,"","","",2017,9,2016,1,"Louisiana
(30.921314, -91.840238)","Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
West Virginia,455311,91775,91775,0,2016,12,2014,2,"West Virginia
(38.642579, -80.613729)",""
Oregon,966688,424685,340639,84046,2016,12,2014,3,"Oregon
(43.940449, -120.605279)",""
Alabama,1038571,"","","",2017,9,2016,8,"Alabama
(32.756889, -86.844516)",""
Virginia,995213,"","","",2017,9,2016,6,"Virginia
(37.510861, -78.666382)",""
Alabama,1019631,"","","",2018,8,2017,7,"Alabama
(32.756889, -86.844516)",""
North Dakota,92823,20650,19602,1048,2019,12,2017,12,"North Dakota
(47.446305, -100.46931)",""
New York,6107856,1906826,259461,1647365,2017,9,2016,3,"New York
(42.921241, -75.59655)",""
Virgin Islands,24198,9751,"",9751,2019,12,2018,2,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Wisconsin,1197034,"","","",2017,7,2015,8,"Wisconsin
(44.639954, -89.732969)",""
Maryland,1146711,189277,189277,0,2016,12,2014,5,"Maryland
(38.946466, -76.687282)",""
Maryland,1128986,182456,182456,0,2016,12,2014,4,"Maryland
(38.946466, -76.687282)",""
Texas,4332199,"","","",2019,12,2017,12,"Texas
(31.447238, -99.317341)",""
Mississippi,724380,"","","",2017,7,2015,11,"Mississippi
(32.713378, -89.65344)",""
Puerto Rico,1319978,396885,"",396885,2017,7,2015,10,"Puerto Rico
(18.215692, -66.414655)",""
Minnesota,1104618,181273,180276,997,2016,12,2014,10,"Minnesota
(46.349153, -94.198308)",""
Nebraska,236975,"","","",2017,9,2016,3,"Nebraska
(41.527099, -99.810595)",""
Kansas,370313,"","","",2019,12,2018,2,"Kansas
(38.484729, -98.38018)",""
Missouri,774010,"","","",2016,12,2014,5,"Missouri
(38.3675, -92.477244)",""
Oklahoma,681377,"","","",2018,8,2017,2,"Oklahoma
(35.583449, -97.508297)",""
New Hampshire,132034,"","","",2016,12,2014,1,"New Hampshire
(43.680429, -71.57139)",""
Maryland,1229917,311423,311423,0,2019,12,2018,5,"Maryland
(38.946466, -76.687282)",""
Nevada,546817,145761,145761,0,2016,12,2014,8,"Nevada
(39.283294, -114.916992)",""
New Hampshire,167988,29406,29124,282,2016,12,2014,12,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Missouri,988334,"","","",2018,8,2017,3,"Missouri
(38.3675, -92.477244)",""
Wyoming,67675,"","","",2016,12,2014,2,"Wyoming
(42.999627, -107.55145)",""
Nevada,533369,138162,138162,0,2016,12,2014,7,"Nevada
(39.283294, -114.916992)",""
West Virginia,552314,169782,169782,"",2017,7,2015,8,"West Virginia
(38.642579, -80.613729)",""
Maryland,1103730,248237,248237,"",2017,9,2016,3,"Maryland
(38.946466, -76.687282)",""
District of Columbia,224559,45901,45901,0,2016,12,2014,1,"District of Columbia
(38.904785, -77.016275)",""
Guam,35621,3567,"",3567,2018,8,2017,3,"Guam
(13.3532, 144.653198)",""
Totals,75785795,15061950,11652481,3409469,2017,9,2016,8,"",""
Georgia,1957737,"","","",2019,12,2018,6,"Georgia
(32.638481, -83.426574)",""
Nevada,591436,201613,201613,"",2017,9,2016,6,"Nevada
(39.283294, -114.916992)",""
Idaho,286257,"","","",2016,12,2014,8,"Idaho
(44.389073, -114.659366)",""
Colorado,1232065,358112,356407,1705,2017,7,2015,5,"Colorado
(38.998552, -105.547832)",""
Louisiana,1329443,"","","",2016,12,2014,7,"Louisiana
(30.921314, -91.840238)","Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
American Samoa,36726,"","","",2016,12,2014,1,"",""
North Dakota *,91919,20351,19350,1001,2018,8,2017,4,"North Dakota *
(47.446305, -100.46931)",Awaiting state reporting/enrollment reasonableness review in progress
Montana,151235,"","","",2016,12,2014,11,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
N. Mariana Islands,15472,"","","",2018,8,2016,12,"",""
Florida,4052383,"","","",2018,8,2017,5,"Florida
(28.260731, -82.420978)",""
Colorado,1330977,443544,441402,2142,2017,9,2016,6,"Colorado
(38.998552, -105.547832)",""
Virginia,906574,"","","",2016,12,2014,6,"Virginia
(37.510861, -78.666382)",""
Vermont,184426,60529,0,60529,2018,8,2017,5,"Vermont
(44.075252, -72.662695)",""
Pennsylvania,2731187,791111,750362,40749,2019,12,2018,6,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Texas,4285311,"","","",2019,12,2018,3,"Texas
(31.447238, -99.317341)",""
Indiana,1243049,342744,203308,139436,2017,7,2015,11,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Indiana,1346323,443723,315380,128343,2018,8,2017,5,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Wyoming,64432,"","","",2017,9,2016,1,"Wyoming
(42.999627, -107.55145)",""
Maryland,1061749,231484,231484,0,2017,7,2015,12,"Maryland
(38.946466, -76.687282)",""
Nebraska,234288,"","","",2016,12,2014,11,"Nebraska
(41.527099, -99.810595)",""
Connecticut,824319,190561,179170,11391,2017,7,2015,2,"Connecticut
(41.575155, -72.738288)",""
Virgin Islands,13780,"","","",2016,12,2014,3,"Virgin Islands
(18.060868, -64.840836)",""
Maine,256182,0,0,0,2019,12,2018,1,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Nebraska,234106,"","","",2017,7,2015,1,"Nebraska
(41.527099, -99.810595)",""
Minnesota,1147282,187516,186666,850,2017,9,2016,9,"Minnesota
(46.349153, -94.198308)",""
South Dakota,107577,"","","",2016,12,2014,9,"South Dakota
(44.43614, -100.230491)",""
Hawaii,326563,113854,20309,93545,2017,9,2016,5,"Hawaii
(21.361013, -157.854309)",""
Hawaii,330439,120403,22744,97659,2019,12,2018,4,"Hawaii
(21.361013, -157.854309)",""
Massachusetts,1848444,391857,0,391857,2019,12,2018,5,"Massachusetts
(42.151077, -71.481104)",""
Colorado,1327920,442434,440160,2274,2017,9,2016,7,"Colorado
(38.998552, -105.547832)",""
Minnesota,1169596,198921,198233,688,2017,7,2015,7,"Minnesota
(46.349153, -94.198308)",""
Connecticut,788454,172008,159360,12648,2017,7,2015,8,"Connecticut
(41.575155, -72.738288)",""
Minnesota,1191273,204737,204075,662,2017,7,2015,10,"Minnesota
(46.349153, -94.198308)",""
Guam,35164,3441,"",3441,2018,8,2016,12,"Guam
(13.3532, 144.653198)",""
Arkansas,919768,291602,266741,24861,2017,7,2015,12,"Arkansas
(34.899825, -92.439162)",""
Minnesota,944960,131218,130780,438,2016,12,2014,1,"Minnesota
(46.349153, -94.198308)",""
Florida,4013266,"","","",2018,8,2017,7,"Florida
(28.260731, -82.420978)",""
Wyoming,59092,"","","",2019,12,2018,1,"Wyoming
(42.999627, -107.55145)",""
Iowa,602058,154021,142157,11864,2018,8,2017,2,"Iowa
(42.074659, -93.500061)",""
Alaska,196284,42966,42938,28,2019,12,2018,1,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Alaska,119404,"","","",2016,12,2014,9,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Texas,4357147,"","","",2018,8,2017,1,"Texas
(31.447238, -99.317341)",""
Mississippi,733558,"","","",2017,7,2015,8,"Mississippi
(32.713378, -89.65344)",""
Hawaii,287393,76720,42231,34489,2016,12,2014,6,"Hawaii
(21.361013, -157.854309)",""
Dist. Of Col.,263531,112887,71228,41659,2019,12,2017,12,"",""
Virginia,1016793,"","","",2018,8,2017,3,"Virginia
(37.510861, -78.666382)",""
Ohio,3071157,708663,652169,56494,2017,9,2016,7,"Ohio
(40.415534, -82.70936)",""
Tennessee,1615360,"","","",2017,7,2015,8,"Tennessee
(35.842998, -86.343226)",""
Idaho,277167,"","","",2016,12,2014,5,"Idaho
(44.389073, -114.659366)",""
Vermont,179602,58702,0,58702,2018,8,2017,8,"Vermont
(44.075252, -72.662695)",""
Massachusetts,1858429,384060,0,384060,2018,8,2016,10,"Massachusetts
(42.151077, -71.481104)",""
Iowa,571750,135186,126142,9044,2017,7,2015,5,"Iowa
(42.074659, -93.500061)",""
Florida,4032834,"","","",2019,12,2017,10,"Florida
(28.260731, -82.420978)",""
Maine,278383,"","","",2017,7,2015,3,"Maine
(45.117911, -69.06137)",""
Montana,151180,"","","",2016,12,2014,4,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
District Of Columbia,261140,109687,68594,41093,2018,8,2017,7,"District Of Columbia
(38.904785, -77.016275)",""
Arizona,1878210,409659,104510,305149,2017,7,2015,11,"Arizona
(34.293239, -111.664616)",""
N. Mariana Islands,17000,"","","",2017,7,2015,1,"",""
Vermont,210322,64987,"",64987,2017,9,2016,2,"Vermont
(44.075252, -72.662695)",""
Texas,4314833,"","","",2018,8,2017,8,"Texas
(31.447238, -99.317341)",""
Illinois,2981099,668611,651810,16801,2017,7,2015,5,"Illinois
(40.124144, -89.148632)",""
Idaho,305900,"","","",2017,9,2016,5,"Idaho
(44.389073, -114.659366)",""
Virginia,991195,"","","",2017,7,2015,10,"Virginia
(37.510861, -78.666382)",""
West Virginia,547243,170635,170635,0,2019,12,2017,10,"West Virginia
(38.642579, -80.613729)",""
Colorado,1340089,448805,446508,2297,2018,8,2017,2,"Colorado
(38.998552, -105.547832)",""
Oklahoma,669148,"","","",2018,8,2017,6,"Oklahoma
(35.583449, -97.508297)",""
American Samoa,41214,"","","",2018,8,2017,5,"",""
West Virginia,554210,174999,174999,0,2017,7,2015,12,"West Virginia
(38.642579, -80.613729)",""
Utah,314706,"","","",2016,12,2014,7,"Utah
(39.323779, -111.678222)",""
Totals,75936729,14782994,11381854,3401140,2017,9,2016,6,"",""
Arizona,1722629,326936,51093,275843,2016,12,2014,10,"Arizona
(34.293239, -111.664616)",""
Guam,37123,3247,"",3247,2016,12,2014,2,"Guam
(13.3532, 144.653198)",""
Pennsylvania,2094487,"","","",2016,12,2014,3,"Pennsylvania
(40.896694, -77.838886)",""
California,14074434,2547235,2547235,0,2016,12,2014,12,"California
(37.211164, -119.662127)",Awaiting state reporting/enrollment reasonableness review in progress
Wisconsin,1184288,"","","",2018,8,2017,9,"Wisconsin
(44.639954, -89.732969)",""
Hawaii,292221,88670,34120,54550,2017,7,2015,2,"Hawaii
(21.361013, -157.854309)",""
Florida,4010895,"","","",2017,7,2015,6,"Florida
(28.260731, -82.420978)",""
Hawaii,275551,79196,32925,46271,2016,12,2014,11,"Hawaii
(21.361013, -157.854309)",""
North Carolina,1976604,"","","",2017,7,2015,9,"North Carolina
(35.52603, -79.130883)",""
California,11568990,3769184,3769184,0,2018,8,2017,6,"California
(37.211164, -119.662127)",""
Wyoming,62242,"","","",2018,8,2017,1,"Wyoming
(42.999627, -107.55145)",""
Georgia,1853348,"","","",2018,8,2017,6,"Georgia
(32.638481, -83.426574)",""
Pennsylvania,2852210,796335,754249,42086,2018,8,2017,5,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Virgin Islands,17552,3996,"",3996,2018,8,2017,9,"Virgin Islands
(18.060868, -64.840836)","Virgin Islands expanded its Mediciad program by adopting the VIII Group on June 1, 2015."
Idaho,277090,"","","",2016,12,2014,4,"Idaho
(44.389073, -114.659366)",""
South Dakota,108745,"","","",2017,7,2015,10,"South Dakota
(44.43614, -100.230491)",""
Iowa,591146,153939,141349,12590,2019,12,2017,12,"Iowa
(42.074659, -93.500061)",""
Kansas,373592,"","","",2017,7,2015,4,"Kansas
(38.484729, -98.38018)",""
South Carolina,1154194,"","","",2016,12,2014,8,"South Carolina
(33.878572, -80.864614)",""
Kansas,363083,"","","",2019,12,2017,12,"Kansas
(38.484729, -98.38018)",""
Mississippi,674061,"","","",2016,12,2014,4,"Mississippi
(32.713378, -89.65344)",""
Alaska,121955,"","","",2017,7,2015,3,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Hawaii,281175,68978,44704,24274,2016,12,2014,2,"Hawaii
(21.361013, -157.854309)",""
Connecticut,851013,188969,177393,11576,2016,12,2014,12,"Connecticut
(41.575155, -72.738288)",""
New Mexico,854443,249748,249748,0,2018,8,2017,9,"New Mexico
(34.421369, -106.108388)",""
Iowa,594708,148605,137724,10881,2017,9,2016,9,"Iowa
(42.074659, -93.500061)",""
Oregon,1093489,548756,478110,70646,2017,9,2016,1,"Oregon
(43.940449, -120.605279)",""
Michigan,2274041,601463,559567,41896,2017,7,2015,11,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
South Carolina,1230287,"","","",2018,8,2017,8,"South Carolina
(33.878572, -80.864614)",""
Alaska,113933,"","","",2016,12,2014,4,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Virginia,1017358,"","","",2018,8,2017,2,"Virginia
(37.510861, -78.666382)",""
Tennessee,1619393,"","","",2019,12,2017,11,"Tennessee
(35.842998, -86.343226)",""
Idaho,319681,"","","",2018,8,2017,4,"Idaho
(44.389073, -114.659366)",""
Rhode Island,302796,68074,68074,0,2018,8,2017,1,"Rhode Island
(41.572574, -71.534637)",""
Maine,296097,"","","",2016,12,2014,5,"Maine
(45.117911, -69.06137)",""
New York,6070580,1948399,282325,1666074,2018,8,2017,3,"New York
(42.921241, -75.59655)",""
Texas,4305931,"","","",2018,8,2017,6,"Texas
(31.447238, -99.317341)",""
South Dakota,105503,"","","",2019,12,2017,11,"South Dakota
(44.43614, -100.230491)",""
Florida,4056210,"","","",2018,8,2017,7,"Florida
(28.260731, -82.420978)",""
Vermont,187776,58781,0,58781,2018,8,2016,10,"Vermont
(44.075252, -72.662695)",""
Maine,258075,"","","",2018,8,2017,8,"Maine
(45.117911, -69.06137)",""
Oklahoma,653045,"","","",2019,12,2018,5,"Oklahoma
(35.583449, -97.508297)",""
South Carolina,1200918,"","","",2017,7,2015,2,"South Carolina
(33.878572, -80.864614)",""
West Virginia,536762,165893,165893,0,2019,12,2018,6,"West Virginia
(38.642579, -80.613729)",""
N. Mariana Islands,1151,"","","",2019,12,2017,11,"",""
Maine,258634,"","","",2018,8,2017,7,"Maine
(45.117911, -69.06137)",""
Virgin Islands,20214,1605,"",1605,2017,7,2015,8,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
New York,6136251,1906812,264994,1641818,2017,9,2016,4,"New York
(42.921241, -75.59655)",""
Florida,4023320,"","","",2017,9,2016,8,"Florida
(28.260731, -82.420978)",""
North Carolina,1975549,"","","",2017,7,2015,6,"North Carolina
(35.52603, -79.130883)",""
Indiana,1072004,"","","",2016,12,2014,8,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Oklahoma,656753,"","","",2019,12,2018,1,"Oklahoma
(35.583449, -97.508297)",""
Louisiana,1247911,"","","",2016,12,2014,2,"Louisiana
(30.921314, -91.840238)",""
Totals,76373292,14684923,11273422,3411501,2017,9,2016,3,"",""
Colorado,1282265,411009,404471,6538,2019,12,2018,4,"Colorado
(38.998552, -105.547832)",""
Delaware,211731,60824,9322,51502,2017,7,2015,7,"Delaware
(38.994926, -75.452394)",""
District of Columbia,248125,56360,56360,0,2017,7,2015,1,"District of Columbia
(38.904785, -77.016275)",""
Nevada,579784,196446,196446,0,2017,7,2015,12,"Nevada
(39.283294, -114.916992)",""
Arkansas,967155,326948,318303,8645,2018,8,2017,1,"Arkansas
(34.899825, -92.439162)",""
Montana,148697,"","","",2016,12,2014,7,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Alaska,184242,35931,35807,124,2018,8,2017,4,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Minnesota,1179139,192491,191828,663,2017,9,2016,4,"Minnesota
(46.349153, -94.198308)",""
Georgia,1850981,"","","",2017,7,2015,6,"Georgia
(32.638481, -83.426574)",""
New Mexico,804026,218456,218456,0,2017,7,2015,6,"New Mexico
(34.421369, -106.108388)",""
South Dakota,106660,"","","",2018,8,2017,5,"South Dakota
(44.43614, -100.230491)",""
Wisconsin,1190904,"","","",2018,8,2016,10,"Wisconsin
(44.639954, -89.732969)",""
Pennsylvania,2747147,798037,756784,41253,2019,12,2018,5,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Vermont,185011,60599,0,60599,2018,8,2017,4,"Vermont
(44.075252, -72.662695)",""
Georgia,1873328,"","","",2017,9,2016,3,"Georgia
(32.638481, -83.426574)",""
Alaska,157092,21550,21550,"",2017,9,2016,5,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Illinois,2876233,685870,645067,40803,2018,8,2017,5,"Illinois
(40.124144, -89.148632)",""
New Hampshire,138562,"","","",2016,12,2014,5,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Florida,4026994,"","","",2017,9,2016,4,"Florida
(28.260731, -82.420978)",""
Maine,293895,"","","",2016,12,2014,7,"Maine
(45.117911, -69.06137)",""
West Virginia,513061,144461,144461,0,2016,12,2014,8,"West Virginia
(38.642579, -80.613729)",""
New Mexico,635809,102914,102914,0,2016,12,2014,2,"New Mexico
(34.421369, -106.108388)",""
Massachusetts,1935841,312554,0,312554,2016,12,2014,10,"Massachusetts
(42.151077, -71.481104)",""
Arkansas,863204,202906,179770,23136,2016,12,2014,1,"Arkansas
(34.899825, -92.439162)",""
Nebraska,236411,"","","",2017,9,2016,7,"Nebraska
(41.527099, -99.810595)",""
Alaska,194359,41593,41565,28,2019,12,2017,12,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
California,13261078,3189635,3189635,0,2017,7,2015,9,"California
(37.211164, -119.662127)",Awaiting state reporting/enrollment reasonableness review in progress
N. Mariana Islands,17000,"","","",2016,12,2014,5,"",""
Florida,4068266,"","","",2018,8,2017,2,"Florida
(28.260731, -82.420978)",""
Massachusetts,2007685,432659,0,432659,2019,12,2018,3,"Massachusetts
(42.151077, -71.481104)",""
Arizona,1905913,419057,107782,311275,2017,9,2016,8,"Arizona
(34.293239, -111.664616)",""
North Carolina,2167495,"","","",2019,12,2018,4,"North Carolina
(35.52603, -79.130883)",""
Missouri,853193,"","","",2017,7,2015,1,"Missouri
(38.3675, -92.477244)",""
Idaho,276856,"","","",2016,12,2014,6,"Idaho
(44.389073, -114.659366)",""
Arkansas,925643,292602,292349,253,2019,12,2018,4,"Arkansas
(34.899825, -92.439162)",""
Idaho,287932,"","","",2016,12,2014,9,"Idaho
(44.389073, -114.659366)",""
Nebraska,235833,"","","",2017,7,2015,4,"Nebraska
(41.527099, -99.810595)",""
Maryland,1023255,129209,129209,0,2016,12,2014,1,"Maryland
(38.946466, -76.687282)",""
North Dakota,83157,16727,16239,488,2016,12,2014,12,"North Dakota
(47.446305, -100.46931)",""
Texas,4282705,"","","",2017,7,2015,7,"Texas
(31.447238, -99.317341)",""
Virginia,996913,"","","",2017,9,2016,8,"Virginia
(37.510861, -78.666382)",""
Texas,4203865,"","","",2016,12,2014,8,"Texas
(31.447238, -99.317341)",""
Oklahoma,645541,"","","",2019,12,2018,3,"Oklahoma
(35.583449, -97.508297)",""
Montana,257398,95667,95667,0,2019,12,2018,2,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
N. Mariana Islands,17000,"","","",2016,12,2014,2,"",""
New Jersey,1637304,523727,523727,0,2016,12,2014,11,"New Jersey
(40.110253, -74.655514)",""
District of Columbia,236687,51136,51136,0,2016,12,2014,6,"District of Columbia
(38.904785, -77.016275)",""
Nevada,559114,183742,183742,"",2017,7,2015,8,"Nevada
(39.283294, -114.916992)",""
Minnesota,1141971,198705,197879,826,2018,8,2017,6,"Minnesota
(46.349153, -94.198308)",""
Rhode Island,258284,43682,43682,0,2016,12,2014,5,"Rhode Island
(41.572574, -71.534637)",""
Hawaii,327927,114869,20581,94288,2017,9,2016,6,"Hawaii
(21.361013, -157.854309)",""
California,13081202,3823273,3823273,0,2019,12,2018,4,"California
(37.211164, -119.662127)",""
New Jersey,1499715,422064,422064,0,2016,12,2014,4,"New Jersey
(40.110253, -74.655514)",""
Oklahoma,660803,"","","",2017,9,2016,4,"Oklahoma
(35.583449, -97.508297)",""
Washington,1652422,483435,468045,15390,2016,12,2014,11,"Washington
(47.411715, -120.592492)",""
South Dakota,105968,"","","",2019,12,2018,3,"South Dakota
(44.43614, -100.230491)",""
Maryland,1073134,238068,238068,"",2017,9,2016,1,"Maryland
(38.946466, -76.687282)",""
Pennsylvania,2709668,643317,587243,56074,2017,9,2016,2,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
California,11683751,3737657,3737657,0,2018,8,2017,3,"California
(37.211164, -119.662127)",""
Puerto Rico,1284194,387646,"",387646,2018,8,2016,11,"Puerto Rico
(18.215692, -66.414655)",""
California,13111554,3334915,3334915,0,2017,7,2015,11,"California
(37.211164, -119.662127)",Awaiting state reporting/enrollment reasonableness review in progress
North Carolina,1977368,"","","",2017,7,2015,4,"North Carolina
(35.52603, -79.130883)",""
Idaho,323620,"","","",2018,8,2017,1,"Idaho
(44.389073, -114.659366)",""
Louisiana,1439036,"","","",2017,7,2015,9,"Louisiana
(30.921314, -91.840238)","Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Ohio,3084169,608785,561309,47476,2017,7,2015,4,"Ohio
(40.415534, -82.70936)",""
Missouri,977324,"","","",2017,9,2016,6,"Missouri
(38.3675, -92.477244)",""
Louisiana,1658137,417416,417416,0,2018,8,2017,3,"Louisiana
(30.921314, -91.840238)","Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Indiana,1054059,"","","",2016,12,2014,9,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Arizona,1889445,420428,109296,311132,2019,12,2018,2,"Arizona
(34.293239, -111.664616)",""
Totals,75781196,12360854,9313208,3047646,2017,7,2015,3,"",""
Texas,4333650,"","","",2018,8,2017,3,"Texas
(31.447238, -99.317341)",""
Massachusetts,1839152,304482,0,304482,2016,12,2014,7,"Massachusetts
(42.151077, -71.481104)",""
New Hampshire,189906,53884,53673,211,2017,9,2016,9,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Oregon,1099324,550420,478843,71577,2017,9,2016,2,"Oregon
(43.940449, -120.605279)",""
Minnesota,1066083,174492,173305,1187,2016,12,2014,9,"Minnesota
(46.349153, -94.198308)",""
New Hampshire,204299,56228,56013,215,2018,8,2016,12,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Amer. Samoa,27898,"","","",2019,12,2018,2,"",""
New Hampshire,183749,45132,44848,284,2017,7,2015,7,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Indiana,1351587,447686,326721,120965,2019,12,2017,11,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Arizona,1727294,344871,59407,285464,2016,12,2014,12,"Arizona
(34.293239, -111.664616)",""
Wisconsin,1190616,"","","",2019,12,2018,1,"Wisconsin
(44.639954, -89.732969)",""
District of Columbia,249036,57734,57734,0,2017,7,2015,2,"District of Columbia
(38.904785, -77.016275)",""
Virgin Islands,23506,3238,"",3238,2017,7,2015,12,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Virginia,1040349,"","","",2019,12,2017,10,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Guam,35744,3786,"",3786,2019,12,2017,11,"Guam
(13.3532, 144.653198)",""
Alabama,1021657,"","","",2019,12,2018,6,"Alabama
(32.756889, -86.844516)",""
Hawaii,285383,76560,40657,35903,2016,12,2014,7,"Hawaii
(21.361013, -157.854309)",""
Kentucky,1283812,436410,436410,0,2017,7,2015,4,"Kentucky
(37.526683, -85.290484)",""
New York,5832869,1124984,129494,995490,2016,12,2014,7,"New York
(42.921241, -75.59655)",""
Wisconsin,1184947,"","","",2019,12,2018,6,"Wisconsin
(44.639954, -89.732969)",""
Rhode Island,281294,59451,59451,"",2017,9,2016,4,"Rhode Island
(41.572574, -71.534637)",""
Illinois,2981291,548695,537316,11379,2016,12,2014,10,"Illinois
(40.124144, -89.148632)",""
Guam,36061,3697,"",3697,2018,8,2017,5,"Guam
(13.3532, 144.653198)",""
Texas,4343082,"","","",2018,8,2017,2,"Texas
(31.447238, -99.317341)",""
American Samoa,36726,"","","",2016,12,2014,10,"",""
Mississippi,711923,"","","",2018,8,2017,6,"Mississippi
(32.713378, -89.65344)",""
Hawaii,329486,118676,22491,96185,2019,12,2017,11,"Hawaii
(21.361013, -157.854309)",""
New Mexico,784246,204879,204879,0,2017,7,2015,3,"New Mexico
(34.421369, -106.108388)",""
Oregon,960042,421897,337861,84036,2016,12,2014,2,"Oregon
(43.940449, -120.605279)",""
Illinois,2986448,569891,557744,12147,2016,12,2014,11,"Illinois
(40.124144, -89.148632)",""
Guam,35805,3601,"",3601,2018,8,2017,2,"Guam
(13.3532, 144.653198)",""
Delaware,191451,56422,6806,49616,2016,12,2014,6,"Delaware
(38.994926, -75.452394)",""
Mississippi,727912,"","","",2017,9,2016,5,"Mississippi
(32.713378, -89.65344)",""
New Jersey,1713315,573414,573414,0,2018,8,2016,12,"New Jersey
(40.110253, -74.655514)",""
Virginia,1047599,"","","",2019,12,2018,1,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Massachusetts,1811660,383679,0,383679,2018,8,2017,4,"Massachusetts
(42.151077, -71.481104)",""
Maine,259772,"","","",2018,8,2017,4,"Maine
(45.117911, -69.06137)",""
